Tick,Power (EU/t),Hull Heat (HU),Hull Heat (%),Total Power (EU),Exploded
5761,20.0,0.0,0.0,115220.0,False
5781,20.0,0.0,0.0,115620.0,False
5801,20.0,0.0,0.0,116020.0,False
5821,20.0,0.0,0.0,116420.0,False
5841,20.0,0.0,0.0,116820.0,False
5861,20.0,0.0,0.0,117220.0,False
5881,20.0,0.0,0.0,117620.0,False
5901,20.0,0.0,0.0,118020.0,False
5921,20.0,0.0,0.0,118420.0,False
5941,20.0,0.0,0.0,118820.0,False
5961,20.0,0.0,0.0,119220.0,False
5981,20.0,0.0,0.0,119620.0,False
6001,20.0,0.0,0.0,120020.0,False
6021,20.0,0.0,0.0,120420.0,False
6041,20.0,0.0,0.0,120820.0,False
6061,20.0,0.0,0.0,121220.0,False
6081,20.0,0.0,0.0,121620.0,False
6101,20.0,0.0,0.0,122020.0,False
6121,20.0,0.0,0.0,122420.0,False
6141,20.0,0.0,0.0,122820.0,False
6161,20.0,0.0,0.0,123220.0,False
6181,20.0,0.0,0.0,123620.0,False
6201,20.0,0.0,0.0,124020.0,False
6221,20.0,0.0,0.0,124420.0,False
6241,20.0,0.0,0.0,124820.0,False
6261,20.0,0.0,0.0,125220.0,False
6281,20.0,0.0,0.0,125620.0,False
6301,20.0,0.0,0.0,126020.0,False
6321,20.0,0.0,0.0,126420.0,False
6341,20.0,0.0,0.0,126820.0,False
6361,20.0,0.0,0.0,127220.0,False
6381,20.0,0.0,0.0,127620.0,False
6401,20.0,0.0,0.0,128020.0,False
6421,20.0,0.0,0.0,128420.0,False
6441,20.0,0.0,0.0,128820.0,False
6461,20.0,0.0,0.0,129220.0,False
6481,20.0,0.0,0.0,129620.0,False
6501,20.0,0.0,0.0,130020.0,False
6521,20.0,0.0,0.0,130420.0,False
6541,20.0,0.0,0.0,130820.0,False
6561,20.0,0.0,0.0,131220.0,False
6581,20.0,0.0,0.0,131620.0,False
6601,20.0,0.0,0.0,132020.0,False
6621,20.0,0.0,0.0,132420.0,False
6641,20.0,0.0,0.0,132820.0,False
6661,20.0,0.0,0.0,133220.0,False
