2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:11,547 [INFO] Episode 完成: 平均功率=230.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:11,547 [INFO] Episode 完成: 平均功率=455.00 EU/t, 最大堆温=10058.00, 爆炸=是
2026-03-30 16:00:11,860 [INFO] Episode 完成: 平均功率=295.00 EU/t, 最大堆温=2150.00, 爆炸=否
2026-03-30 16:00:11,860 [INFO] Episode 完成: 平均功率=290.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:11,860 [INFO] Episode 完成: 平均功率=555.00 EU/t, 最大堆温=10046.33, 爆炸=是
2026-03-30 16:00:11,860 [INFO] Episode 完成: 平均功率=670.00 EU/t, 最大堆温=10056.00, 爆炸=是
2026-03-30 16:00:12,195 [INFO] Episode 完成: 平均功率=260.00 EU/t, 最大堆温=10104.67, 爆炸=是
2026-03-30 16:00:12,195 [INFO] Episode 完成: 平均功率=470.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:12,195 [INFO] Episode 完成: 平均功率=135.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:12,195 [INFO] Episode 完成: 平均功率=275.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:12,614 [INFO] Episode 完成: 平均功率=240.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:12,614 [INFO] Episode 完成: 平均功率=340.00 EU/t, 最大堆温=7247.33, 爆炸=否
2026-03-30 16:00:12,614 [INFO] Episode 完成: 平均功率=435.00 EU/t, 最大堆温=3055.00, 爆炸=否
2026-03-30 16:00:12,614 [INFO] Episode 完成: 平均功率=250.00 EU/t, 最大堆温=0.00, 爆炸=否
